Aaliyah (np) 	Aaliyah (np.ant) 
addawol	promising (adj) 
addef	admit (vblex) 
addewid	promise (n) 
addoli	worship (vblex) 
addolwr	worshipper (n) 
addo	promise (vblex) 
ad-drefnu	reorganise (vblex) 
adduned	resolution (n) 
addunedu	vow (vblex) 
addurniad	decoration (n) 
addurniadol	decorative (adj) 
addurno	decorate (vblex) 
addurn	ornament (n) 
addurn	ornate (adj) 
addysg	education (n.unc) 
addysgiadol	instructive (adj) 
addysgol	educational (adj) 
addysgu	educate (vblex) 
addysgwr	educator (n) 
adeg	time (n.unc) 
adeiladaeth	construction (n) 
adeilad	building (n) 
adeiladiad	build (n) 
adeiladol	constructive (adj) 
adeiladu	build (vblex) 
adeiladwaith	structure (n) 
adeiledd	structure (n) 
adeiledig	built (adj) 
Adele (np) 	Adele (np.ant) 
adennill	recover (vblex) 
aden	wing (n) 
aderyn	bird (n) 
adethol	re-elect (vblex) 
adfail	ruin (n) 
adfeddu	appropriate (vblex) 
adfeilio	decay (vblex) 
adfeilion	ruins (n) 
adferiad	recovery (n) 
adferiad	restoration (n) 
adfer	restore (vblex) 
adferu	restore (vblex) 
adfewnio	re-enter (vblex) 
adfywhau	reanimate (vblex) 
adfywiad	revival (n) 
adfywio	resuscitate (vblex) 
adio	add (vblex) 
adlais	echo (n) 
adlamu	rebound (vblex) 
adleisio	resound (vblex) 
adleoli	relocate (vblex) 
adlewyrchiad	reflection (n) 
adlewyrchu	reflect (vblex) 
adlifo	reflux (vblex) 
adloniant	entertainment (n.unc) 
adnabod	know (vblex) 
adnabyddadwy	identifiable (adj) 
adnabyddedig	recognised (adj) 
adnabyddiad	recognition (n.unc) 
adnabyddiaeth	recognition (n) 
adnabyddus	familiar (adj) 
adnau	deposit (n) 
adneuo	deposit (vblex) 
adnewyddadwy	renewable (adj) 
adnewyddiad	renewal (n) 
adnewyddu	renew (vblex) 
adnodd	resource (n) 
adnoddu	resource (vblex) 
adolygiadau	reviews (n) 
adolygiad	review (n) 
adolygu	review (vblex) 
adrannau	sections (n) 
adrannol	departmental (adj) 
adran	section (n) 
adref	homewards (adv) 
adre	homewards (adv) 
Adriana (np) 	Adriana (np.ant) 
Adrian (np) 	Adrian (np.ant) 
Adrià (np) 	Adrià (np.ant) 
adroddgan	recitative (n) 
adroddiad	report (n) 
adrodd	recite (vblex) 
aduno	reunite (vblex) 
adwaith	reaction (n) 
adweinyddu	re-administer (vblex) 
adweitheg	reflexology (n) 
adweithio	react (vblex) 
adwy	pass (n) 
adysgrifio	transcribe (vblex) 
Aedan (np) 	Aedan (np.ant) 
aeddfed	mature (adj) 
aeddfedrwydd	maturity (n) 
aeddfedu	mature (vblex) 
aelodaeth	membership (n) 
aelodi	enrol (vblex) 
aelod	member (n) 
aelwyd	hearth (n) 
aer	air (n.unc) 
aeronoteg	aeronautics (n) 
afal	apple (n) 
affeithio	affect (vblex) 
Affganistan	Afghanistan (np.top) 
Affrica	Africa (np.top) 
Afghanistan	Afghanistan (np.top) 
afiechyd	illness (n) 
aflonyddu	disturb (vblex) 
afloyw	opaque (adj) 
aflunedd	distortion (n) 
afluniad	distortion (n) 
aflunio	distort (vblex) 
aflwyddiannus	unsuccessful (adj) 
aflwyddo	fail (vblex) 
aflym	obtuse (adj) 
afocado	avocado (n) 
Afon_Cefni	Afon_Cefni (np.top) 
Afon_Nîl	Nile (np.top) 
afon	river (n) 
afradloni	squander (vblex) 
afradu	spoil (vblex) 
afraid	redundant (adj) 
afrealistig	unrealistic (adj) 
afreidrwydd	redundancy (n) 
afreolaidd	irregular (adj) 
afreoleidd-dra	irregularity (n) 
afresymol	irrational (adj) 
afrifed	innumerable (adj) 
afrwyddo	obstruct (vblex) 
agenda	agenda (n) 
agennu	slit (vblex) 
agen	slot (n) 
ager	steam (n.unc) 
ageru	steam (vblex) 
Agnes (np) 	Agnes (np.ant) 
agoredig	opened (adj) 
agored	open (adj) 
agoriad	key (n) 
agoriadol	opening (adj) 
agor	open (vblex) 
agosáu	approach (vblex) 
agos	close (adj.sint) 
agwedd	aspect (n) 
Aidan (np) 	Aidan (np.ant) 
Aiden (np) 	Aiden (np.ant) 
ailaddurno	redecorate (vblex) 
ailadeiladu	rebuild (vblex) 
ailadroddiad	repetition (n) 
ailadrodd	repeat (vblex) 
ailadroddydd	repeater (n) 
ailarfogi	rearm (vblex) 
ailargraffiad	reprint (n) 
ailargraffu	reprint (vblex) 
ailasesu	reassess (vblex) 
ailbacio	repack (vblex) 
ailbeintio	repaint (vblex) 
ailbenodi	reappoint (vblex) 
ailblannu	replant (vblex) 
ailboblogi	repopulate (vblex) 
ailbriodi	remarry (vblex) 
ailbroffilio	reprofile (vblex) 
ailbrofi	reexperience (vblex) 
ailchwarae	replay (vblex) 
ailchwyddo	reinflate (vblex) 
aildargedu	retarget (vblex) 
ailddarlledu	rebroadcast (vblex) 
ailddarllen	reread (vblex) 
ailddatblygu	redevelop (vblex) 
ailddatgan	restate (vblex) 
ailddatganu	restate (vblex) 
ailddechrau	restart (vblex) 
ailddefnyddio	reuse (vblex) 
aildderbyn	reaccept (vblex) 
ailddewis	reselect (vblex) 
ailddiffinio	redefine (vblex) 
ailddirwyn	rewind (vblex) 
ailddiwygio	re-revise (vblex) 
ailddodrefnu	refurnish (vblex) 
ailddosrannu	reanalyse (vblex) 
ailddrafftio	redraft (vblex) 
ailddweud	repeat (vblex) 
ailddyblu	redouble (vblex) 
ailddyfeisio	reinvent (vblex) 
ailddysgu	relearn (vblex) 
aildeipio	retype (vblex) 
aildrefnu	rearrange (vblex) 
aildrosedd	reoffence (n) 
aildroseddu	reoffend (vblex) 
aildyfu	regrow (vblex) 
ailedrych	look#_again (vblex) 
ailennill	re-win (vblex) 
ailfeddiannu	repossess (vblex) 
ailfeddwl	rethink (vblex) 
ailfedyddio	rebaptise (vblex) 
ailfformatio	reformat (vblex) 
ailflagura	re-sprout (vblex) 
ailfreinio	re-enfranchise (vblex) 
ailfuddsoddi	reinvest (vblex) 
ailfwyta	reingest (vblex) 
ailfynegi	retell (vblex) 
ailfywhau	revivify (vblex) 
ailfywiogi	reanimate (vblex) 
ailgasglu	recollect (vblex) 
ailgenhedlu	re-beget (vblex) 
ailgloddio	requarry (vblex) 
ailgloriannu	reestimate (vblex) 
ailgodi	re-erect (vblex) 
ailgoncro	reconquer (vblex) 
ailgreu	recreate (vblex) 
ailgwympo	fall#_again (vblex) 
ailgyfansoddi	recompose (vblex) 
ailgyfeiriad	redirection (n) 
ailgyfeirio	re-refer (vblex) 
ailgyflogi	rehire (vblex) 
ailgyflwyno	reintroduce (vblex) 
ailgyfodi	re-arise (vblex) 
ailgyhoeddi	republish (vblex) 
ailgylchadwy	recycleable (adj) 
ailgylchu	recycle (vblex) 
ailgylchynu	recycle (vblex) 
ailgymodi	reconcile#_again (vblex) 
ailgynefino	reaccustom#_oneself (vblex) 
ailgynllunio	replan (vblex) 
ailgynnig	re-offer (vblex) 
ailgynnull	reassemble (vblex) 
ailgysegru	reconsecrate (vblex) 
ailgysgu	sleep#_again (vblex) 
ailgysodi	recompose (vblex) 
ailgysylltu	reconnect (vblex) 
ailgyweirio	reset (vblex) 
ailgywiro	recorrect (vblex) 
ailhyfforddiant	retraining (n) 
ailhyfforddi	retrain (vblex) 
ail-lansio	relaunch (vblex) 
ail-ledaenu	recirculate (vblex) 
ail-lunio	redraw (vblex) 
ailosodiad	reset (n) 
ailosod	reset (vblex) 
ailraddio	regrade (vblex) 
ailrannu	redistribute (vblex) 
ailrestru	relist (vblex) 
ailrybuddio	warn#_again (vblex) 
Ailsa (np) 	Ailsa (np.ant) 
ail	second (det.ord) 
ailsefydlu	reestablish (vblex) 
ailsefyll	stand#_again (vblex) 
ailsianelu	rechannel (vblex) 
ailstorio	store#_again (vblex) 
ailstrwythuro	restructure (vblex) 
ailwampio	rework (vblex) 
ailweirio	rewire (vblex) 
ailwerthu	resell (vblex) 
ailwirio	recheck (vblex) 
ailwladychu	recolonise (vblex) 
ailwneud	do (vblex) 
ailwrando	listen#_again (vblex) 
ailymaelodi	rejoin (vblex) 
ailymddangos	reappear (vblex) 
ailymgeisio	reapply (vblex) 
ailymgynull	reconvene (vblex) 
ailymosod	reattack (vblex) 
ailymrwymo	recommit#_oneself (vblex) 
ailymuno	rejoin (vblex) 
ailysgogi	stir#_again (vblex) 
ailysgrifeniad	rewrite (n) 
ailysgwyddo	reshoulder (vblex) 
ailystyried	reconsider (vblex) 
ailyswirio	reinsure (vblex) 
Aimee (np) 	Aimee (np.ant) 
Aina (np) 	Aina (np.ant) 
Ainara (np) 	Ainara (np.ant) 
Ainhoa (np) 	Ainhoa (np.ant) 
ai	or (cnjcoo) 
ai_peidio	or_not (adv) 
Aisha (np) 	Aisha (np.ant) 
Aitana (np) 	Aitana (np.ant) 
Aitor (np) 	Aitor (np.ant) 
Alabama	Alabama (np.top) 
alaethu	lament (vblex) 
Alana (np) 	Alana (np.ant) 
Alannah (np) 	Alannah (np.ant) 
Alanna (np) 	Alanna (np.ant) 
Alan (np) 	Alan (np.ant) 
alaru	alarm (vblex) 
Alasdair (np) 	Alasdair (np.ant) 
Alaska	Alaska (np.top) 
Alastair (np) 	Alastair (np.ant) 
alaw	melody (n) 
Albania	Albania (np.top) 
Alba (np) 	Alba (np.ant) 
alban	solstice (n) 
Albert (np) 	Albert (np.ant) 
albwm	album (n) 
alcemeg	alchemy (n) 
alcohol	alcohol (n) 
alcoholiaeth	alcoholism (n) 
Aled (np) 	Aled (np.ant) 
Aleesha (np) 	Aleesha (np.ant) 
Alexander (np) 	Alexander (np.ant) 
Alexander (np) 	Alexander (np.cog) 
Alexandra (np) 	Alexandra (np.ant) 
Alexa (np) 	Alexa (np.ant) 
Alexis (np) 	Alexis (np.ant) 
Alex (np) 	Alex (np.ant) 
Àlex (np) 	Àlex (np.ant) 
alffa	alpha (n) 
alffagyfuniad	alphablending (n) 
alffarifol	alphanumeric (adj) 
Alfie (np) 	Alfie (np.ant) 
algebra	algebra (n) 
Algeria	Algeria (np.top) 
algorithm	algorithm (n) 
Alianore (np) 	Alianore (np.ant) 
Alice (np) 	Alice (np.ant) 
Alicia (np) 	Alicia (np.ant) 
aliniad	alignment (n) 
alinio	align (vblex) 
Ali (np) 	Ali (np.ant) 
Ali (np) 	Ali (np.cog) 
Alisha (np) 	Alisha (np.ant) 
Alistair (np) 	Alistair (np.ant) 
Alix (np) 	Alix (np.ant) 
allanadlu	exhale (vblex) 
allanfa	exit (n) 
Allan (np) 	Allan (np.ant) 
Allan (np) 	Allan (np.cog) 
allanol	external (adj) 
allan	out (adv) 
allanu	exit (vblex) 
allbwn	output (n) 
allbynnu	output (vblex) 
alldro	outturn (n) 
Allen (np) 	Allen (np.cog) 
allforedig	exported (adj) 
allforiad	export (n) 
allforio	export (vblex) 
allfudo	emigrate (vblex) 
allfynd	outgoing (adj) 
allgofnodi	log#_out (vblex) 
allgyrsiol	extracurricular (adj) 
all-lein	offline (adj) 
allolchi	wash#_out (vblex) 
alltudiaeth	deportation (n) 
alltudio	exile (vblex) 
allweddair	keyword (n) 
allweddell	keyboard (n) 
allwedd	key (n) 
allweddol	key (adj) 
allweddu	key (vblex) 
allyriad	emission (n) 
allyrru	emit (vblex) 
Almaeneg	German (adj) 
almon	almond (n) 
Alun (np) 	Alun (np.ant) 
Alyne (np) 	Alyne (np.ant) 
Alys (np) 	Alys (np.ant) 
Alyssa (np) 	Alyssa (np.ant) 
am	
amaeth	agriculture (n) 
amaethu	cultivate (vblex) 
amaethyddiaeth	agriculture (n) 
amaethyddol	agricultural (adj) 
am_amser_hir	for_a_long_time (adv) 
amatur	amateur (adj) 
amau	doubt (vblex) 
amau	suspicion (n) 
am	because (cnjsub) 
ambell	occasional (adj) 
am_ben	concerning (pr) 
Amber (np) 	Amber (np.ant) 
ambiwlans	ambulance (n) 
amcangyfrif	estimate (n) 
amcangyfrif	estimate (vblex) 
amcangyfrifol	estimated (adj) 
amcan	objective (n) 
amcanu	aim (vblex) 
amddifadedd	deprivation (n) 
amddifad	orphaned (adj) 
amddifadu	deprive (vblex) 
amddiffyn	defend (vblex) 
amddiffynfa	fortress (n) 
amddiffyniad	defence (n) 
amddiffyniad	protection (n) 
amddiffyniad	safeguard (n) 
amddiffynnol	defensive (adj) 
Amelia (np) 	Amelia (np.ant) 
Amelie (np) 	Amelie (np.ant) 
America_Ladin	Latin_America (np.top) 
Americanaidd	American (adj) 
am_faint	for_how_long (det.itg) 
amfesur	perimeter (n) 
amffiniedig	delimited (adj) 
amffinydd	delimiter (n) 
am	for (pr) 
amgaead	encapsulation (n) 
amgaeëdig	encapsulated (adj) 
amgaeedig	enclosed (adj) 
amgaeëdig	enclosed (adj) 
amgáu	enclose (vblex) 
amgen	alternative (adj) 
amgodiad	encoding (n) 
amgodiedig	encoded (adj) 
amgodio	encode (vblex) 
amgodydd	encoder (n) 
amgrwm	convex (adj) 
amgryptiedig	encrypted (adj) 
amgryptio	encrypt (vblex) 
amgueddfa	museum (n) 
amgyffred	comprehend (vblex) 
amgyffred	comprehension (n) 
amgylchedd	environment (n) 
amgylcheddol	environmental (adj) 
amgylch	environs (n.unc) 
amgylchfyd	environment (n) 
amgylchiad	circumstance (n) 
amgylchu	surround (vblex) 
amgylchynu	surround (vblex) 
amharchu	dishonour (vblex) 
amharchus	disrespectful (adj) 
amhariad	impairment (n) 
amharod	unprepared (adj) 
amharu	spoil (vblex) 
amhenodol	unspecified (adj) 
amherthnasol	not_applicable (adj) 
amherthnasol	off-topic (adj) 
amheuaeth	suspicion (n) 
amheus	suspicious (adj) 
amhleidiaeth	impartiality (n) 
amhleidiol	impartial (adj) 
amhoradwy	unbrowseable (adj) 
amhosib	impossible (adj) 
amhosibl	impossible (adj) 
amhriodol	improper (adj) 
amhwyllo	go#_mad (vblex) 
Amice (np) 	Amice (np.ant) 
Amie (np) 	Amie (np.ant) 
amlapio	wrap#_around (vblex) 
amlap	wrap-around (n) 
aml-asiantaethol	multi-agency (adj) 
amlben	multihead (adj) 
amlblecsydd	multiplexer (n) 
aml-broffesiynol	multi-professional (adj) 
aml-bwrpas	multi-purpose (adj) 
aml-chwaraeon	multi-sport (adj) 
amlchwaraewr	multiplayer (adj) 
aml-ddefnydd	multi-use (adj) 
aml-ddisgyblaethol	multidisciplinary (adj) 
aml-ddiwylliannol	multicultural (adj) 
amldduwiaeth	polytheism (n) 
amlder	frequency (n) 
amledd	frequency (n) 
amlen	envelope (n) 
aml	frequent (adj) 
amlhau	increase (vblex) 
aml-iaith	multi-lingual (adj) 
amlieithog	multilingual (adj) 
amlin	contour (n) 
amlinelliad	outline (n) 
amlinell	outline (n) 
amlinellu	outline (vblex) 
amlochron	polygon (n) 
amlosgi	cremate (vblex) 
amlran	multipart (adj) 
Amlwch	Amlwch (np.top) 
amlwg	obvious (adj) 
amlwreiciaeth	polygamy (n) 
amlygedig	highlighted (adj) 
amlygiad	highlighting (n) 
amlygrwydd	prominence (n) 
amlygu	reveal (vblex) 
Amman	Amman (np.top) 
amneidio	nod (vblex) 
amnewidiad	replacement (n) 
amnewid	replace (vblex) 
amod	condition (n) 
amodi	stipulate (vblex) 
amodol	conditional (adj) 
amorteiddiad	amortisation (n) 
Amphelice (np) 	Amphelice (np.ant) 
amrant	eyelid (n) 
amrantol	blinking (adj) 
amrantu	wink (vblex) 
amrediad	range (n) 
amrwd	raw (adj.sint) 
amryfal	assorted (adj) 
amryfuso	err (vblex) 
amrywedd	heterogeneity (n) 
amrywiad	variation (n) 
amrywiadwy	variable (adj) 
amrywiaeth	variety (n) 
amrywiol	assorted (adj) 
amrywio	vary (vblex) 
amryw_o	various (det.ind) 
amryw	various (adj) 
amseredig	timed (adj) 
amserfa	timezone (n) 
amseriad	timing (n) 
amserlen	timetable (n) 
amser-llawn	full-time (adj) 
amsernod	timestamp (n) 
amseroldeb	timeliness (n) 
amserol	timely (adj) 
amser-real	realtime (adj) 
amser	time (n.unc) 
amseru	time (vblex) 
amseryddiaeth	chronology (n) 
amserydd	timer (n) 
Amsterdam	Amsterdam (np.top) 
amsugno	absorb (vblex) 
amwisgo	shroud (vblex) 
amwys	ambiguous (adj) 
amyneddgar	patient (adj) 
amynedd	patience (n) 
Amy (np) 	Amy (np.ant) 
anabl	disabled (adj) 
anabledd	disability (n) 
anaddasedig	unmodified (adj) 
anaddas	inappropriate (adj) 
anaddasu	disqualify (vblex) 
anadferadwy	unrecoverable (adj) 
anadl	breath (n) 
anadliad	breathing (n) 
anadlu	breathe (vblex) 
anadnabyddadwy	non-identifiable (adj) 
anadnabyddus	unrecognised (adj) 
anafu	injure (vblex) 
anaf	wound (n) 
anallu	inability (n) 
analluog	disabled (adj) 
analluogi	disable (vblex) 
analog	analogue (adj) 
anaml	infrequent (adj) 
an-anghynhwysol	non-exclusive (adj) 
anarferedig	obsolete (adj) 
anarferol	unusual (adj) 
anargaeledd	non-availability (n) 
anarwyddocaol	insignificant (adj) 
anatomeg	anatomy (n) 
anawdurdodedig	unauthorised (adj) 
Andalucía	Andalucia (np.top) 
Anderson (np) 	Anderson (np.cog) 
Andorra	Andorra (np.top) 
Andrea (np) 	Andrea (np.ant) 
Andreu (np) 	Andreu (np.ant) 
Andrew (np) 	Andrew (np.ant) 
andros	exceptionally (adv) 
andwyol	harmful (adj) 
andwyo	spoil (vblex) 
anecdot	anecdote (n) 
aneffeithiolrwydd	ineffectiveness (n) 
aneffeithlon	inefficient (adj) 
aneffeithlonrwydd	inefficiency (n) 
aneglur	unclear (adj) 
anelu	aim (vblex) 
anelu#_at	aim#_at (vblex) 
anesmwytho	become#_restless (vblex) 
anfantais	disadvantage (n) 
anfarwoldeb	immortality (n) 
anfarwoli	immortalise (vblex) 
anfeidredd	infinity (n) 
anfeidrol	infinite (adj) 
anferthedd	monstrosity (n) 
anferth	huge (adj) 
anfesuradwy	non-quantifiable (adj) 
anffafriaeth	discrimination (n) 
anffafriol	unfavourable (adj) 
anffodus	unfortunate (adj) 
anffurfio	deform (vblex) 
anffurfiol	informal (adj) 
anffyddiaeth	agnosticism (n) 
anffyddiaeth	atheism (n) 
anfoddhaol	unsatisfactory (adj) 
anfoddio	displease (vblex) 
anfoddog	reluctant (adj) 
anfodloni	dissatisfy (vblex) 
anfodlonrwydd	discontent (n) 
anfodlonrwydd	dissatisfaction (n) 
anfodlon	unwilling (adj) 
anfoesgarwch	rudeness (n) 
anfon#_am	send#_for (vblex) 
anfon#_at	send#_to (vblex) 
anfonebedig	invoiced (adj) 
anfonebu	invoice (vblex) 
anfonedig	sent (adj) 
anfon	send (vblex) 
anfonwr	sender (n) 
anfri	disrepute (n) 
anfwriadol	unintentional (adj) 
angau	death (n) 
angel	angel (n) 
Àngela (np) 	Àngela (np.ant) 
Angel (np) 	Angel (np.ant) 
Àngel (np) 	Àngel (np.ant) 
angen	need (n) 
angenrheidiol	necessary (adj) 
angenrheidrwydd	necessity (n) 
angerdd	intensity (n) 
anghenraid	necessity (n) 
anghenrhaid	requirement (n) 
anghenus	needy (adj.sint) 
angheuol	fatal (adj) 
anghoelio	disbelieve (vblex) 
anghofio	forget (vblex) 
anghredu	disbelieve (vblex) 
anghydamseredig	asynchronous (adj) 
anghydbwysedd	imbalance (n) 
anghydfod	discord (n) 
anghydnawsedd	incompatibility (n) 
anghydnaws	incompatible (adj) 
anghydraddoldeb	inequality (n) 
anghydsynio	dissent (vblex) 
anghydweddiad	mismatch (n) 
anghydwedd	inconsistent (adj) 
anghydweld	disagree (vblex) 
anghyfaddasu	disqualify (vblex) 
anghyfanhedd-dra	desolation (n) 
anghyfartal	unequal (adj) 
anghyfarwydd	unfamiliar (adj) 
anghyffredin	uncommon (adj) 
anghyfiawnder	injustice (n) 
anghyflawn	incomplete (adj) 
anghyfleus	inconvenient (adj) 
anghyfleuster	inconvenience (n) 
anghyfochrog	scalene (adj) 
anghyfrannol	non-proportional (adj) 
anghyfreithlon	illegal (adj) 
anghymeradwyaeth	disapproval (n) 
anghymeradwyo	disapprove (vblex) 
anghymesur	asymmetric (adj) 
anghymhwyso	disqualify (vblex) 
anghymhwyster	disqualification (n) 
anghynhwysol	exclusive (adj) 
anghynhwysol	non-inclusive (adj) 
anghynrychiadol	non-representative (adj) 
anghynrychioliadol	non-representational (adj) 
anghynwysoldeb	exclusivity (n) 
anghyrhaeddol	unreachable (adj) 
anghysbell	remote (adj) 
anghysondeb	conflict (n) 
anghysonedd	inconsistency (n) 
anghyson	inconsistent (adj) 
anghysuro	discomfit (vblex) 
anghytbwys	unbalanced (adj) 
anghytundeb	disagreement (n) 
anghytûn	incompatible (adj) 
anghytuno	disagree (vblex) 
anghywir	incorrect (adj) 
angladd	funeral (n) 
Anglicanaidd	Anglican (adj) 
Angola	Angola (np.top) 
angori	anchor (vblex) 
Anguilla	Anguilla (np.top) 
Angus (np) 	Angus (np.ant) 
anhafal	unequal (adj) 
anhapusrwydd	unhappiness (n.unc) 
anhapus	unhappy (adj.sint) 
anhawster	difficulty (n) 
anheddiad	settlement (n) 
anhepgor	indispensable (adj) 
anhepgorol	indispensable (adj) 
anhraddodiadol	untraditional (adj) 
anhrefn	disorder (n) 
anhrefnu	disarrange (vblex) 
anhuddo	bank#_up (vblex) 
anhwylder	ailment (n) 
anhwyluso	inconvenience (vblex) 
anhyblyg	rigid (adj) 
anhyfrydu	make#_unpleasant (vblex) 
anhygoel	incredible (adj) 
anhysbys	unknown (adj) 
anialwch	wilderness (n) 
anieithyddol	non-linguistic (adj) 
anifail	animal (n) 
anifail#_anwes	pet (n) 
anifeileiddio	brutalise (vblex) 
animeiddiad	animation (n) 
animeiddio	animate (adj) 
anis	anise (n) 
Ankara	Ankara (np.top) 
anleol	non-local (adj) 
anlladu	behave#_wantonly (vblex) 
Annabelle (np) 	Annabelle (np.ant) 
Annabel (np) 	Annabel (np.ant) 
Anna_Maria (np) 	Anna_Maria (np.ant) 
Anna (np) 	Anna (np.ant) 
annarllenadwy	unreadable (adj) 
annatod	integral (adj) 
annedd	dwelling (n) 
annedwyddwch	unhappiness (n) 
annegatif	non-negative (adj) 
Anne (np) 	Anne (np.ant) 
annerbyniol	unacceptable (adj) 
annerch	address (vblex) 
annerch	greeting (n) 
annhebyg	dissimilar (adj) 
annhebygol	unlikely (adj) 
annheg	unfair (adj) 
annhyfiant	atrophy (n) 
annibyniaeth	independence (n) 
annibynnol	independent (adj) 
annibynnwr	independent (n) 
Annie (np) 	Annie (np.ant) 
anniffiniedig	undefined (adj) 
annifyr	annoying (adj) 
annigonedd	insufficiency (n) 
annigonol	insufficient (adj) 
annigonolrwydd	inadequacy (n) 
annilys	invalid (adj) 
anniolchgarwch	ingratitude (n) 
annisgwyl	unexpected (adj) 
Ann-Marie (np) 	Ann-Marie (np.ant) 
Ann (np) 	Ann (np.ant) 
annoeth	unwise (adj) 
annog	urge (vblex) 
annos	incite (vblex) 
annwyl	dear (adj) 
annymunol	unpleasant (adj) 
annymunol	unwanted (adj) 
anobeithio	despair (vblex) 
anochel	inevitable (adj) 
anodd	difficult (adj) 
anodi	annotate (vblex) 
anogaeth	exhortation (n) 
anogiad	prompt (n) 
anogiaeth	exhortation (n) 
anonestrwydd	dishonesty (n) 
anorchfygol	intractable (adj) 
anorfod	insuperable (adj) 
anorthrech	overwhelming (adj) 
anrheg	present (n) 
anrhegu	present (vblex) 
anrheithio	plunder (vblex) 
anrhydedd	honour (n) 
anrhydeddu	honour (vblex) 
anrhydeddus	prestigious (adj) 
ansadrwydd	instability (n) 
ansad	unstable (adj) 
ansafonol	non-standard (adj) 
ansawdd	quality (n) 
ansefydlogi	unsettle (vblex) 
ansefydlu	disestablish (vblex) 
ansicr	uncertain (adj) 
ansicrwydd	uncertainty (n) 
ansoddair	adjective (n) 
ansoddol	qualitative (adj) 
anstatudol	non-statutory (adj) 
Anthony (np) 	Anthony (np.ant) 
anthropoleg	anthropology (n.unc) 
Antigua_a_Barbuda	Antigua_and_Barbuda (np.top) 
Antigwa_a_Barbiwda	Antigua_and_Barbuda (np.top) 
Antigwa_a_Barbuda	Antigua_and_Barbuda (np.top) 
Antonia (np) 	Antonia (np.ant) 
Antònia (np) 	Antònia (np.ant) 
Antoni (np) 	Antoni (np.ant) 
Anton (np) 	Anton (np.ant) 
Antony (np) 	Antony (np.ant) 
antur	adventure (n) 
anturiaeth	adventure (n) 
anturio	venture (vblex) 
anufudd-dod	disobedience (n) 
anufudd-dod	insubordination (n) 
anufuddhau	disobey (vblex) 
anuniongred	unorthodox (adj) 
anuniongyrchol	indirect (adj) 
anurddo	treat#_with_disrespect (vblex) 
anwadalu	fluctuate (vblex) 
anwag	non-empty (adj) 
anweddu	evaporate (vblex) 
anweithredol	inactive (adj) 
anweithred	unperformed_action (n) 
anweledig	invisible (adj) 
anwes	indulgence (n) 
anwesu	fondle (vblex) 
anwireddu	falsify (vblex) 
anwir	untrue (adj) 
anwybodaeth	ignorance (n) 
anwybyddu	ignore (vblex) 
anwylo	fondle (vblex) 
anwytho	induce (vblex) 
Anya (np) 	Anya (np.ant) 
anymddiheurol	unapologetic (adj) 
anymddiried	distrust (vblex) 
Anys (np) 	Anys (np.ant) 
anystwytho	stiffen (vblex) 
