AAA	BBB	Task	Title	Quantity	Extra mentors
Albanian	English	28	Manually create a transfer lexicon from a word list in .dix format	40	fpetkovski,hperadin
Kazakh	Karakalpak	28	Manually create a transfer lexicon from a word list in .dix format	40	jnw
Tatar	Bashkir	28	Manually create a transfer lexicon from a word list in .dix format	40	jnw,selimcan
Turkish	Tatar	28	Manually create a transfer lexicon from a word list in .dix format	40	jnw,selimcan
Romanian	Aromanian	28	Manually create a transfer lexicon from a word list in .dix format	40	
Kazakh	Kyrgyz	28	Manually create a transfer lexicon from a word list in .dix format	40	jnw
Finnish	Estonian	28	Manually create a transfer lexicon from a word list in .dix format	40	unhammer,
Hindi	Urdu	28	Manually create a transfer lexicon from a word list in .dix format	40	nvohra
					
Persian	Tajik	29	Proofread an existing dictionary	20	jnw
Hindi	Urdu	29	Proofread an existing dictionary	20	nvohra
					
					
Avar	Russian	30	Extract test sentences from a grammar	1	
					
					
Kazakh		23	Hand-correct the spelling of 50 words	5	flammie,jnw
Tatar		23	Hand-correct the spelling of 50 words	5	flammie,jnw,selimcan
Kyrgyz		23	Hand-correct the spelling of 50 words	5	flammie,jnw
Uzbek		23	Hand-correct the spelling of 50 words	5	flammie,jnw
Kumyk		23	Hand-correct the spelling of 50 words	5	flammie,jnw
Nogay		23	Hand-correct the spelling of 50 words	5	flammie,jnw
Bashkir		23	Hand-correct the spelling of 50 words	5	flammie,jnw
Avar		23	Hand-correct the spelling of 50 words	5	flammie,jnw
Turkmen		23	Hand-correct the spelling of 50 words	5	flammie,jnw
Maltese		23	Hand-correct the spelling of 50 words	5	flammie,jnw
Armenian		23	Hand-correct the spelling of 50 words	5	flammie,jnw
					
					
					
					
					
					
Khmer		33	Write a dictionary-based tokeniser for Asian languages	6	
Thai		33	Write a dictionary-based tokeniser for Asian languages	6	
Chinese		33	Write a dictionary-based tokeniser for Asian languages	6	
Lao		33	Write a dictionary-based tokeniser for Asian languages	6	
Burmese		33	Write a dictionary-based tokeniser for Asian languages	6	
Dzongkha		33	Write a dictionary-based tokeniser for Asian languages	6	
Vietnamese		33	Write a dictionary-based tokeniser for Asian languages	6	
					
					
Windows		24	Document how to install a voikko spellchecker for LibreOffice	1	
OS X		24	Document how to install a voikko spellchecker for LibreOffice	1	
Fedora		24	Document how to install a voikko spellchecker for LibreOffice	1	
Ubuntu/Debian		24	Document how to install a voikko spellchecker for LibreOffice		
					
inittab		56	test and document init scripts for apertium-apy	1	
systemd		56	test and document init scripts for apertium-apy	1	
upstart		56	test and document init scripts for apertium-apy	1	
					
					
Kazakh		125	train tesseract on a language with no available tesseract data	1	
Mongolian		125	train tesseract on a language with no available tesseract data	1	
Kyrgyz		125	train tesseract on a language with no available tesseract data	1	
Tatar		125	train tesseract on a language with no available tesseract data	1	
Avar		125	train tesseract on a language with no available tesseract data	1	
Uzbek (Latin)		125	train tesseract on a language with no available tesseract data	1	
Uzbek (Cyrillic)		125	train tesseract on a language with no available tesseract data	1	
Karakalpak (Latin)		125	train tesseract on a language with no available tesseract data	1	
					
					
Mongolian	Kazakh	126	scrape a freely available dictionary using tesseract	1	
					
massagan		114	Scraper for freely available forum content	1	
					
1		105	Document materials for a language not yet on our wiki	1	
2		105	Document materials for a language not yet on our wiki	1	
3		105	Document materials for a language not yet on our wiki	1	
4		105	Document materials for a language not yet on our wiki	1	
5		105	Document materials for a language not yet on our wiki	1	
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
