ID	Multi	Title	Time	Mentors	Type	Tags
29	Yes	Proofread an existing dictionary	72	ftyers	research,quality	bilingual,text,dictionary
30	Yes	Extract test sentences from a grammar	72	ftyers	research	grammar,linguistics
31	No	Document how to set up libreoffice-voikko in Windows	72	ftyers	documentation	windows,voikko,spellchecking
32	No	Document how to use WikiBhasha	72	ftyers	documentation	mediawiki
33	Yes	Write a dictionary-based tokeniser for Asian languages	72	ftyers	code,research	asian,tokeniser,languages
34	Yes	Evaluate tokenisation strategies for a South-Asian language	72	ftyers	code,research	asian,tokeniser,languages
35	No	Implement IBM model 1 word alignment in python	72	ftyers	code,research	
36	No	Implement language detection in apertium-apy	120	ftyers	code	python
37	Yes	Write a review of the available literature on word segmentation 	120	ftyers	research	asian,tokeniser,languages
						
	Yes	Improve the quality of a language pair XX-YY by adding 50 words to its vocabulary				
	Yes	Add/correct one structural transfer rule to an existing language pair				
	Yes	 Write 10 lexical selection rules for a language pair already set up with lexical selection				
	Yes	Set up a language pair to use lexical selection and write 5 rules				
	Yes	Write 10 constraint grammar rules to repair part-of-speech tagging errors				
	Yes	Set up a language pair such that it uses constraint grammar for part-of-speech tagging				
	Yes	Dictionary conversion				
	Yes	Dictionary conversion in python				
7		Localised available languages function in apertium-apy				
6		Language detection in apertium-apy				
		SSL in apertium-apy				
		libvoikko support for apertium-apy				
		*-morph and *-gener modes for apertium-apy				
		performance tracking in apertium-apy				
		apertium-apy gateway				
		apertium-apy gateway server pool management				
56	Yes	test and document init scripts for apertium-apy		ftyers, jnw, unhammer	documentation, quality	
	No	cronjob to detect a "hang" for apertium-apy		ftyers, jnw, unhammer	documentation, quality	
	No	make apertium-apy use one lock per pipeline		ftyers, jnw, unhammer	documentation, quality	
	No	make voikkospell understand apertium stream format input		ftyers, jnw, flammie	code	
	No	make voikkospell return output in apertium stream format		ftyers, jnw, flammie	code	
	No	libvoikko support for OS X		ftyers, jnw, flammie	code	
	No	geriaoueg hover functionality: firefox/iceweasel		ftyers, jnw	code, interface	javascript, browser, firefox
	No	geriaoueg hover functionality: chrome/chromium			code, interface	javascript, browser, chrome
	No	geriaoueg language/pair selection: firefox/iceweasel		ftyers, jnw	code	javascript, browser, firefox
	No	geriaoueg language/pair selection: chrome/chromium			code	javascript, browser, chrome
	No	geriaoueg lookup code: firefox/iceweasel		ftyers, jnw	code	javascript, browser, firefox
	No	geriaoueg lookup code: chrome/chromium			code	javascript, browser, chrome
	No	apertium-apy translation-per-word mode		ftyers, jnw, unhammer	code	api, python
	No	apertium-apy mode for geriaoueg (biltrans in context)		ftyers, jnw, unhammer	code	api, python
	No	make apertium-quality work with python3.3 on all platforms		jnw, ftyers	quality	python, debugging, OS X, linux
	No	How much of a given sentence pair is explained by Apertium?		mlforcada	code	
	Yes	Compare Apertium with another MT system and improve it		mlforcada, jimregan	quality	
	No	Check that the Apertium guide for Windows users still works		ftyers	documentation	
	No	Installation instructions for missing GNU/Linux distributions or versions		mlforcada, jnw	documentation	
	No	Installing Apertium in lightweight GNU/Linux distributions		mlforcada	documentation	
	Yes	What's difficult about this language pair?		mlforcada, jimregan	documentation	
	No	Video guide to installation		mlforcada, jnw	documentation	
	No	Apertium in 5 slides		mlforcada, jnw	documentation	
	No	Improved "Become a language-pair developer" document		mlforcada, jnw	documentation	
	No	An entry test for Apertium		mlforcada	documentation	
	Yes	Write a contrastive grammar		ftyers, jnw	research	
	No	The most frequent Romance-to-Romance transfer rules		mlforcada	research	
	Yes	Improve the quality of a language pair by allowing for alternative translations		ftyers, mlforcada, unhammer	quality	
	No	Get bible aligner working (or rewrite it)		jnw	quality, code	aligners, python
	No	tesseract interface for apertium languages        		jnw, ftyers	research	ocr, spelling
	No	Abstract the formatting for the simple-html interface.		ftyers, jnw	interface	js, html, ui
	No	simple-html spell-checker interface		ftyers, jnw	interface	js, html, ui, spelling
	No	simple-html spell-checker code		ftyers, jnw	code	js, html, ui, spelling, api
	No	simple-html morphological analysis/generation interface		ftyers, jnw	interface	js, html, ui
	No	simple-html morphological analysis/generation code		ftyers, jnw, unhammer	code	js, html, ui, api
	No	simple-html interface behaviour for language guessing		ftyers, jnw	interface	js, html, ui
	No	simple-html function for language guessing		ftyers, jnw	code	js, html, ui, api
	No	Update the Apertium guide for Windows users with new language pairs		ftyers	documentation	
	No	Light Apertium bootable ISO for small machines		mlforcada, jnw	code	
	No	Apertium in XLIFF workflows		mlforcada	code	
	No	Examples of minimum files where an Apertium language pair messes up (X)HTML formatting		mlforcada	quality	
	Yes	Make sure an Apertium language pair does not mess up (X)HTML formatting		mlforcada	code	
	Yes	Examples of minimum files where an Apertium language pair messes up wordprocessor formatting		mlforcada	quality	
	Yes	Make sure an Apertium language pair does not mess up wordprocessor (ODT, RTF) formatting		mlforcada	code	
	Yes	Start a language pair involving Interlingua		mlforcada	code	
	No	Generating 'machine translation memories'		mlforcada,jnw	code	
	No	scraper for all wiktionary pages in a category		jnw, ftyers	code	python, mediawiki
	No	scraper of wiktionary translations between language x and y		jnw, ftyers	code	python, mediawiki
	No	better wikipedia extractor script		jnw, ftyers	code	python, mediawiki
	Yes	Document materials for a language not yet on our wiki		ftyers, jnw	research	
106	Yes	Tag and align a corpus		ftyers	research	
	No	Write a program to convert the Giellatekno Faroese CG to Apertium tags		ftyers, trondtr	code	
	Yes	Categorise a Russian POS		ftyers, trondtr	research	
	No	Syntax tree visualisation using GNU bison		ftyers, mlforcada	code	
	No	Document how to install WikiBhasha with MediaWiki	72	jnw, ftyers	code	mediawiki, php
	No	Apertium plugin for WikiBhasha	72	jnw, ftyers	code	mediawiki, php
	No	Make WikiBhasha take content from any language's wikipedia	72	jnw, ftyers	code, quality	mediawiki, php
	No	Bilingual dictionary from word alignments script		ftyers	code	
	Yes	Scraper for freely available forum content	72	jnw	code	scrapers, python
	No	Investigate how orthographic modes on kk.wikipedia.org are implemented	72	jnw	research	mediawiki, php
	No	Write a transliteration plugin for mediawiki	72	jnw	code	mediawiki, php
	No	Implement the intersection operator in lttoolbox		ftyers	code	
	No	Intersection of ATT format transducers		ftyers	code	
	No	Generalise phenny/begiak git plugin	72	jnw	quality, code	python, irc
	No	phenny/begiak git plugin commit info function	72	jnw	code	python, irc
	No	phenny/begiak git plugin recent function	72	jnw	code	python, irc
	No	phenny/begiak git plugin status	72	jnw	code	python, irc
	No	Document phenny/begiak git plugin	72	jnw	documentation	python, irc
	No	phenny/begiak svn plugin info function	72	jnw	code, quality	python, irc
	Yes	train tesseract on a language with no available tesseract data	72	jnw, ftyers	research	ocr
	Yes	scrape a freely available dictionary using tesseract	72	jnw, ftyers	research	ocr
	No	make scraper plugin for azadliq.org	72	jnw	code	python, scrapers
	No	make RFERL scraper documentation read like a HOWTO guide	48	jnw	documentation	python, scrapers
	No	Write an sentence aligner for the UDHR	72	jnw	code	python, aligners
	No	Import nouns from azmorph into apertium-aze	72	jnw, ftyers	quality	
	No	Import adjectives from azmorph into apertium-aze	72	jnw, ftyers	quality	
	No	Import adverbs from azmorph into apertium-aze	72	jnw, ftyers	quality	
	No	Import verbs from azmorph into apertium-aze	72	jnw, ftyers	quality	
	No	Import misc categories from azmorph into apertium-aze	72	jnw, ftyers	quality	
	No	write a browser interface for the concordancer	96	jnw, ftyers	code	python, html, js, concordancer
	No	make concordancer work with output of analyser	72	jnw, ftyers	code	python, concordancer
	No	regex searching in concordancer	48	jnw, ftyers	code	python, concordancer
	No	scraper for all text urls from kumukia.ru/adabiat	48	jnw, ftyers	code	python, scrapers
	No	scraper for all article urls from kumukia.ru/cat-qumuq.html	48	jnw, ftyers	code	python, scrapers
	No	write a scraper plugin for kumukia.ru/adabiat texts       	72	jnw, ftyers	code	python, scrapers
	No	write a scraper plugin for kumukia.ru/cat-qumuq.html articles	72	jnw, ftyers	code	python, scrapers
	No	apache forwarding to apertium-apy	72	jnw, ftyers	research	api
	No	fix pairviewer's 2- and 3-letter code conflation problems	72	jnw	quality	pairviewer, html, js
	No	add language searching to pairviewer	72	jnw	code	pairviewer, html, js
	No	come up with better colours for pairviewer	72	jnw	quality	pairviewer, html, js
	No	map support for pairviewer ("pairmapper")	72	jnw	code	maps, html, js
	No	coordinates for Caucasian languages	72	jnw		maps, xml
	No	coordinates for Central Asian languages	72	jnw		maps, xml
	No	coordinates for Mongolic languages	72	jnw		maps, xml
	No	draw languages as areas for pairmapper	72	jnw	code	maps, html, js, pairviewer
	No	georeference  language areas for Tatar, Bashqort, and Chuvash	72	jnw		maps, xml
	No	georeference language areas for North Caucasus Turkic languages	96	jnw		maps, xml
	No	georeference language areas for IE and Mongolic Caucasus-area languages	72	jnw		maps, xml
	No	georeference language areas for North Caucasus languages	72	jnw		maps, xml
	No	georeference language areas for misc Caucasus-area languages	72	jnw		maps, xml
	No	georeference language areas for Kazakh	72	jnw		maps, xml
	No	georeference language areas for Karakalpak and Kyrgyz	72	jnw		maps, xml
	No	georeference language areas for  Uzbek and Uyghur	72	jnw		maps, xml
	No	georeference language areas for Tajik and Turkmen	72	jnw		maps, xml
	No	georeference language areas for Russian	72	jnw		maps, xml
	No	georeference language areas for Ukrainian and Belorussian	72	jnw		maps, xml
	No	split nor into nob and nno in pairviewer	72	jnw, ftyers, unhammer	quality, code	js, html, pairviewer, python
	No	add support to pairviewer for regional and alternate orthograpic modes	72	jnw, ftyers	quality, code	js, html, pairviewer, python
	No	using language transducers for predictive text on Android	72	jnw	research	android, fst
	No	custom predictive text keyboards for Android	72	jnw	research	android, fst
	No	phenny/begiak ethnologue plugin	72	jnw	code	python, irc
	No	phenny/begiak url module localisation improvements	72	jnw, ftyers, trondtr	quality, code	python, irc
	No	phenny/begiak mediawiki plugin(s) support for subsections	72	jnw	quality, code	python, irc
	No	monodix support for stem-counting script	72	jnw	code	python, dix
